Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax)
Dividend (Dividend),2024-06-28 14:58:01,US04010L1035,ARCC,Ares Capital,3.175741,0.41,USD,Not available,,,30.38,CZK,0.23,USD,,,,,,
Dividend (Dividend),2024-06-28 15:08:50,CA7063271034,PBA,Pembina Pipeline,2.068328,0.43,USD,Not available,,,20.71,CZK,0.16,USD,,,,,,
Dividend (Dividend),2024-06-28 15:18:41,US67066G1040,NVDA,NVIDIA,3.7186403,0.01,USD,Not available,,,0.74,CZK,0.01,USD,,,,,,
Interest on cash,2024-06-28 21:02:00,,,,,,,,,,0.21,CZK,,,Interest on cash,559fe5f3-1e9c-42de-900c-51852a9f60a2,,,,
Lending interest,2024-06-29 02:32:21,,,,,,,,,,0.13,CZK,,,Share lending interest,ab0ed2c9-20e1-4475-948d-645fb61dfe3e,,,,
Interest on cash,2024-06-29 21:02:03,,,,,,,,,,0.2,CZK,,,Interest on cash,9fd8e7a0-1f20-4e07-9486-3a087aa29897,,,,
Interest on cash,2024-06-30 21:02:04,,,,,,,,,,0.21,CZK,,,Interest on cash,757db371-fd49-447a-823d-1d1588e4c901,,,,
Lending interest,2024-07-01 02:39:19,,,,,,,,,,0.27,CZK,,,Share lending interest,e8919a70-6213-4b41-8507-7b1732d8474c,,,,
Market buy,2024-07-01 10:59:49,DE0007164600,SAP,SAP,0.2143792,186.06,EUR,0.03994,,CZK,1000.0,CZK,,,,EOF16750243520,1.5,CZK,,
Market buy,2024-07-01 11:49:55,DE0007164600,SAP,SAP,0.0643682,185.82,EUR,0.03992,,CZK,300.0,CZK,,,,EOF16750247778,0.45,CZK,,
Market sell,2024-07-01 12:09:24,DE0007164600,SAP,SAP,0.2787474,186.46,EUR,0.03992,3.67,CZK,1299.77,CZK,,,,EOF16750249782,1.95,CZK,,
Market buy,2024-07-01 13:59:47,US19260Q1076,COIN,Coinbase,0.2431567,229.0,USD,0.04289,,CZK,1300.0,CZK,,,,EOF16803701994,1.95,CZK,,
Market sell,2024-07-01 15:11:37,US19260Q1076,COIN,Coinbase,0.2431567,229.5,USD,0.04265,10.19,CZK,1306.28,CZK,,,,EOF16803734388,1.96,CZK,,
Market buy,2024-07-01 15:14:57,US30303M1027,META,Meta Platforms,0.1109627,498.88,USD,0.04264,,CZK,1300.0,CZK,,,,EOF16803735405,1.95,CZK,,
Market sell,2024-07-01 16:06:29,US30303M1027,META,Meta Platforms,0.1109627,500.45,USD,0.04265,3.88,CZK,1299.98,CZK,,,,EOF16803748700,1.95,CZK,,
Market buy,2024-07-01 17:15:46,US19260Q1076,COIN,Coinbase,0.2402342,230.53,USD,0.04266,,CZK,1300.0,CZK,,,,EOF16804859360,1.95,CZK,,
Market sell,2024-07-01 17:25:58,US19260Q1076,COIN,Coinbase,0.2402342,230.74,USD,0.04266,1.26,CZK,1297.36,CZK,,,,EOF16804861131,1.95,CZK,,
Market buy,2024-07-01 17:31:32,US19260Q1076,COIN,Coinbase,0.2395678,231.18,USD,0.04266,,CZK,1300.0,CZK,,,,EOF16804861663,1.95,CZK,,
Market sell,2024-07-01 17:38:20,US19260Q1076,COIN,Coinbase,0.2395678,231.75,USD,0.04266,3.22,CZK,1299.32,CZK,,,,EOF16804862808,1.95,CZK,,
Market sell,2024-07-01 18:48:19,US0846707026,BRK.B,Berkshire Hathaway (Class B),0.2227531,404.68,USD,0.04265,330.47,CZK,2110.25,CZK,,,,EOF16804871219,3.17,CZK,,
Interest on cash,2024-07-01 21:01:50,,,,,,,,,,0.55,CZK,,,Interest on cash,f531a639-3c9c-4d5b-bb61-facdbd737e8c,,,,
Lending interest,2024-07-02 02:40:38,,,,,,,,,,0.13,CZK,,,Share lending interest,045b3751-1c86-421b-bd8e-206dc1b89d12,,,,
Market buy,2024-07-02 07:04:29,DE0007030009,RHM,Rheinmetall,0.0408531,485.6,EUR,0.03973,,CZK,500.0,CZK,,,,EOF16804898731,0.75,CZK,,
Market buy,2024-07-02 07:05:08,DE0007164600,SAP,SAP,0.1066302,186.04,EUR,0.03973,,CZK,500.0,CZK,,,,EOF16804899851,0.75,CZK,,
Market buy,2024-07-02 07:12:05,NL0000235190,AIR,Airbus,0.1518955,130.62,EUR,0.03974,,CZK,500.0,CZK,,,,EOF16806257832,0.75,CZK,,
Market buy,2024-07-02 07:55:26,DE0007164600,SAP,SAP,0.1066689,185.98,EUR,0.03973,,CZK,500.0,CZK,,,,EOF16806265631,0.75,CZK,,
Market sell,2024-07-02 07:57:58,DE0007030009,RHM,Rheinmetall,0.0408531,488.0,EUR,0.03973,2.47,CZK,500.97,CZK,,,,EOF16806265889,0.75,CZK,,
Market sell,2024-07-02 08:00:55,DE0007164600,SAP,SAP,0.2132991,185.82,EUR,0.03973,-1.0,CZK,996.0,CZK,,,,EOF16806266278,1.5,CZK,,
Market buy,2024-07-02 08:04:24,NL0000235190,AIR,Airbus,0.1523149,130.24,EUR,0.03973,,CZK,500.0,CZK,,,,EOF16806266577,0.75,CZK,,
Market buy,2024-07-02 08:14:15,DE0008232125,LHA,Deutsche Lufthansa,3.4614,5.73,EUR,0.03975,,CZK,500.0,CZK,,,,EOF16806267536,0.75,CZK,,
Market buy,2024-07-02 08:18:05,DE0007030009,RHM,Rheinmetall,0.0812309,488.5,EUR,0.03974,,CZK,1000.0,CZK,,,,EOF16806267972,1.5,CZK,,
Market buy,2024-07-02 08:46:50,DE0005140008,DBK,Deutsche Bank,1.291387,15.36,EUR,0.03973,,CZK,500.0,CZK,,,,EOF16806270910,0.75,CZK,,
Market sell,2024-07-02 08:48:15,NL0000235190,AIR,Airbus,0.3042104,130.34,EUR,0.03973,-0.65,CZK,996.35,CZK,,,,EOF16806271061,1.5,CZK,,
Market sell,2024-07-02 08:48:44,DE0008232125,LHA,Deutsche Lufthansa,3.4614,5.74,EUR,0.03973,1.11,CZK,499.61,CZK,,,,EOF16806271092,0.75,CZK,,
Market sell,2024-07-02 09:50:53,DE0005140008,DBK,Deutsche Bank,1.291387,15.31,EUR,0.03969,-1.22,CZK,497.28,CZK,,,,EOF16806276560,0.75,CZK,,
Market sell,2024-07-02 09:51:02,DE0007030009,RHM,Rheinmetall,0.0812309,483.6,EUR,0.03969,-8.76,CZK,988.26,CZK,,,,EOF16806276574,1.48,CZK,,
Interest on cash,2024-07-02 21:01:53,,,,,,,,,,0.54,CZK,,,Interest on cash,dc0dfc2b-57c2-4940-acd9-631007e7572e,,,,
Lending interest,2024-07-03 02:32:51,,,,,,,,,,0.13,CZK,,,Share lending interest,4a166c1a-6d20-4c8b-b6da-2456d0f446cb,,,,
Interest on cash,2024-07-03 21:01:50,,,,,,,,,,0.54,CZK,,,Interest on cash,8452b2ab-ca6a-4531-9970-565cc860d6bf,,,,
Lending interest,2024-07-04 02:37:52,,,,,,,,,,0.13,CZK,,,Share lending interest,3896745c-cdc0-4e1e-8657-a5e37fa40c07,,,,
Interest on cash,2024-07-04 21:02:04,,,,,,,,,,0.54,CZK,,,Interest on cash,539734c9-d9f7-4cc7-9bca-71ef0061ac33,,,,
Lending interest,2024-07-05 02:35:14,,,,,,,,,,0.14,CZK,,,Share lending interest,7ed46b08-06b5-41f5-a321-08e4683ed524,,,,
Interest on cash,2024-07-05 21:02:00,,,,,,,,,,0.54,CZK,,,Interest on cash,5223f861-bff3-406a-a41d-9b9e117621a5,,,,
Lending interest,2024-07-06 02:32:16,,,,,,,,,,0.14,CZK,,,Share lending interest,29c09f44-736f-4619-b4b0-ff2ede5233fa,,,,
Interest on cash,2024-07-06 21:02:01,,,,,,,,,,0.55,CZK,,,Interest on cash,fdd72193-de48-49a8-8b2b-b7c60ed23d8e,,,,
Interest on cash,2024-07-07 21:01:50,,,,,,,,,,0.54,CZK,,,Interest on cash,73345864-add9-4533-a65c-ce4b518f7009,,,,
Lending interest,2024-07-08 02:37:26,,,,,,,,,,0.28,CZK,,,Share lending interest,c1c5a778-cfa8-45b8-9552-6bedfa276084,,,,
Interest on cash,2024-07-08 21:02:05,,,,,,,,,,0.54,CZK,,,Interest on cash,ce39a55f-9a54-4cf9-b2f3-1bef155f8ab2,,,,
Interest on cash,2024-07-09 21:01:53,,,,,,,,,,0.54,CZK,,,Interest on cash,4443fd2e-4f9f-482b-9fc8-f20ed7089cbb,,,,
Lending interest,2024-07-10 02:39:08,,,,,,,,,,0.14,CZK,,,Share lending interest,d9c69feb-3aee-412a-9b34-a2fe40d21b95,,,,
Dividend (Dividend),2024-07-10 09:11:16,US02209S1033,MO,Altria,1.633141,0.83,USD,Not available,,,31.78,CZK,0.24,USD,,,,,,
Market buy,2024-07-10 09:52:43,DE000PAG9113,P911,Porsche,0.570669,75.42,EUR,0.03943,,CZK,1093.0,CZK,,,,EOF17203970913,1.64,CZK,,
Market buy,2024-07-10 09:58:00,GB0031348658,BARC,Barclays,0.6365059,218.4,GBX,3.33124,,CZK,42.0,CZK,,,,EOF17203971317,0.06,CZK,0.21,CZK
Market buy,2024-07-10 09:58:54,GB0007980591,BP,BP,0.5076038,456.4,GBX,3.33099,,CZK,70.0,CZK,,,,EOF17203971417,0.1,CZK,0.35,CZK
Market buy,2024-07-10 13:30:03,US4781601046,JNJ,Johnson & Johnson,0.4291788,147.35,USD,0.04262,,CZK,1485.75,CZK,,,,EOF17250801757,2.23,CZK,,
Market buy,2024-07-10 13:30:13,US04010L1035,ARCC,Ares Capital,0.35116,21.11,USD,0.04264,,CZK,174.09,CZK,,,,EOF17250805578,0.26,CZK,,
Market buy,2024-07-10 13:30:24,US02209S1033,MO,Altria,0.333231,47.0,USD,0.04262,,CZK,367.98,CZK,,,,EOF17250805893,0.55,CZK,,
Interest on cash,2024-07-10 21:02:07,,,,,,,,,,0.04,CZK,,,Interest on cash,8780743b-7fa0-45dc-a02c-e37a5cdb5e67,,,,
Lending interest,2024-07-11 06:42:38,,,,,,,,,,0.14,CZK,,,Share lending interest,e6ba1e3c-8e87-4d23-aa2f-10f8c3341206,,,,
Interest on cash,2024-07-11 21:01:54,,,,,,,,,,0.03,CZK,,,Interest on cash,86214ca7-62aa-43cc-a8ed-af7daafbfc1f,,,,
Lending interest,2024-07-12 02:30:40,,,,,,,,,,0.14,CZK,,,Share lending interest,05de2fa8-82b9-42a2-9c6d-6aa215ccb9db,,,,
Interest on cash,2024-07-12 21:01:52,,,,,,,,,,0.02,CZK,,,Interest on cash,6310a822-d597-4a57-977f-37ad2b504b8b,,,,
Lending interest,2024-07-13 02:34:10,,,,,,,,,,0.14,CZK,,,Share lending interest,c3ec2cc9-8354-4e85-b014-533b43239785,,,,
Interest on cash,2024-07-13 21:02:04,,,,,,,,,,0.02,CZK,,,Interest on cash,0aa92c9f-f8cd-40d2-91f6-61476c1245c7,,,,
Deposit,2024-07-14 18:14:03,,,,,,,,,,3000.0,CZK,,,Transaction ID: GGZXJ38XL5GDPNF6,a80c526c-15d8-4470-9bb2-ea9024f17525,,,,
Interest on cash,2024-07-14 21:02:05,,,,,,,,,,0.34,CZK,,,Interest on cash,01fc4a44-53b0-4bfa-b273-b6c73e3a965d,,,,
Lending interest,2024-07-15 02:38:14,,,,,,,,,,0.29,CZK,,,Share lending interest,25b834c4-656b-4ce6-928e-2ce6b7a99cb7,,,,
Market sell,2024-07-15 08:19:11,GB0031348658,BARC,Barclays,3.2584903,223.7,GBX,3.30832,65.97,CZK,220.0,CZK,,,,EOF17500313091,0.33,CZK,,
Market buy,2024-07-15 08:19:39,GB0007980591,BP,BP,1.6082306,450.05,GBX,3.31130,,CZK,220.0,CZK,,,,EOF17500313148,0.33,CZK,1.09,CZK
Dividend (Dividend),2024-07-15 10:29:02,US85254J1025,STAG,STAG Industrial,2.235711,0.1,USD,Not available,,,5.45,CZK,0.04,USD,,,,,,
Dividend (Dividend),2024-07-15 10:46:02,US6098391054,MPWR,Monolithic Power Systems,0.1032773,1.06,USD,Not available,,,2.55,CZK,0.02,USD,,,,,,
Dividend (Dividend),2024-07-15 10:55:07,US56035L1044,MAIN,Main Street Capital,1.50882,0.21,USD,Not available,,,7.3,CZK,0.06,USD,,,,,,
Dividend (Dividend),2024-07-15 11:09:46,US7561091049,O,Realty Income,1.492448,0.22,USD,Not available,,,7.75,CZK,0.06,USD,,,,,,
Market sell,2024-07-15 13:30:04,US02079K3059,GOOGL,Alphabet (Class A),0.0464962,184.89,USD,0.04291,44.68,CZK,200.0,CZK,,,,EOF17502005910,0.3,CZK,,
Market buy,2024-07-15 13:30:04,US85254J1025,STAG,STAG Industrial,0.610852,37.9,USD,0.04293,,CZK,540.0,CZK,,,,EOF17502005920,0.81,CZK,,
Market buy,2024-07-15 13:30:04,CA7063271034,PBA,Pembina Pipeline,0.509854,37.84,USD,0.04293,,CZK,450.0,CZK,,,,EOF17502005917,0.67,CZK,,
Market sell,2024-07-15 13:30:04,US67066G1040,NVDA,NVIDIA,0.3622062,130.54,USD,0.04291,699.6,CZK,1100.0,CZK,,,,EOF17502005914,1.65,CZK,,
Market sell,2024-07-15 13:30:05,US46625H1005,JPM,JPMorgan Chase & Co,0.0415294,207.0,USD,0.04291,54.86,CZK,200.0,CZK,,,,EOF17502007760,0.3,CZK,,
Market buy,2024-07-15 13:30:07,US56035L1044,MAIN,Main Street Capital,0.184887,51.95,USD,0.04293,,CZK,224.04,CZK,,,,EOF17502017949,0.34,CZK,,
Market buy,2024-07-15 13:30:08,US7561091049,O,Realty Income,0.432486,55.91,USD,0.04293,,CZK,563.99,CZK,,,,EOF17502023239,0.84,CZK,,
Market buy,2024-07-15 13:31:10,US56035L1044,MAIN,Main Street Capital,0.156772,51.95,USD,0.04293,,CZK,189.96,CZK,,,,EOF17502026516,0.28,CZK,,
Market sell,2024-07-15 13:32:28,US0231351067,AMZN,Amazon,0.4290895,193.71,USD,0.04293,-60.98,CZK,1933.12,CZK,,,,EOF17502028164,2.9,CZK,,
Market buy,2024-07-15 13:35:10,DE0007030009,RHM,Rheinmetall,0.1527516,514.2,EUR,0.03933,,CZK,2000.0,CZK,,,,EOF17502034087,3.0,CZK,,
Market sell,2024-07-15 14:07:22,US6098391054,MPWR,Monolithic Power Systems,0.0495609,867.49,USD,0.04292,140.95,CZK,1000.0,CZK,,,,EOF17503231608,1.5,CZK,,
Market buy,2024-07-15 14:10:18,DE0007164600,SAP,SAP,0.4171621,188.38,EUR,0.03935,,CZK,2000.0,CZK,,,,EOF17503232580,3.0,CZK,,
Market buy,2024-07-15 14:11:40,US5949181045,MSFT,Microsoft,0.0660565,454.58,USD,0.04296,,CZK,700.0,CZK,,,,EOF17503233164,1.05,CZK,,
Interest on cash,2024-07-15 21:02:06,,,,,,,,,,0.11,CZK,,,Interest on cash,319b79d6-148f-4964-994d-02a22d15b96c,,,,
Lending interest,2024-07-16 02:37:09,,,,,,,,,,0.14,CZK,,,Share lending interest,9bbb61c1-c62f-4284-8bd1-08fa393ff6e9,,,,
Market buy,2024-07-16 13:59:03,US67066G1040,NVDA,NVIDIA,0.0339673,126.23,USD,0.04294,,CZK,100.0,CZK,,,,EOF17550493250,0.15,CZK,,
Market buy,2024-07-16 13:59:59,US67066G1040,NVDA,NVIDIA,0.0340049,126.12,USD,0.04295,,CZK,100.0,CZK,,,,EOF17550493896,0.15,CZK,,
Market buy,2024-07-16 14:07:24,US67066G1040,NVDA,NVIDIA,0.0343909,124.71,USD,0.04295,,CZK,100.0,CZK,,,,EOF17550498183,0.15,CZK,,
Interest on cash,2024-07-16 21:01:54,,,,,,,,,,0.07,CZK,,,Interest on cash,de69331e-e06d-4b9d-815c-b2b6c0369481,,,,
Lending interest,2024-07-17 02:34:07,,,,,,,,,,0.17,CZK,,,Share lending interest,8e9a3c69-299d-4256-acd7-444e92aa463a,,,,
Market buy,2024-07-17 08:08:35,NL0010273215,ASML,ASML,0.0294828,923.3,EUR,0.03951,,CZK,689.92,CZK,,,,EOF17553035140,1.03,CZK,,
Market sell,2024-07-17 08:10:28,DE0007030009,RHM,Rheinmetall,0.0779078,507.8,EUR,0.03950,-17.03,CZK,1000.0,CZK,,,,EOF17553035359,1.5,CZK,,
Market buy,2024-07-17 08:11:16,NL0010273215,ASML,ASML,0.0213541,923.8,EUR,0.03951,,CZK,500.0,CZK,,,,EOF17553035554,0.75,CZK,,
Market buy,2024-07-17 08:16:14,NL0010273215,ASML,ASML,0.0215398,915.8,EUR,0.03951,,CZK,500.0,CZK,,,,EOF17553036103,0.75,CZK,,
Market sell,2024-07-17 13:30:03,US46625H1005,JPM,JPMorgan Chase & Co,0.0303681,213.8,USD,0.04322,43.87,CZK,149.99,CZK,,,,EOF17600224033,0.23,CZK,,
Market buy,2024-07-17 17:41:20,US67066G1040,NVDA,Nvidia,0.0545874,118.78,USD,0.04329,,CZK,149.99,CZK,,,,EOF17603103610,0.22,CZK,,
Lending interest,2024-07-18 02:32:17,,,,,,,,,,0.17,CZK,,,Share lending interest,64b14027-bbae-4ad7-9924-1945ca769560,,,,
Lending interest,2024-07-19 02:41:59,,,,,,,,,,0.16,CZK,,,Share lending interest,76f87e05-45f0-406a-97f9-ff6e04ada4f0,,,,
Lending interest,2024-07-20 02:32:15,,,,,,,,,,0.16,CZK,,,Share lending interest,b9157f67-0469-4e51-8071-85df6680f925,,,,
Lending interest,2024-07-22 02:44:42,,,,,,,,,,0.33,CZK,,,Share lending interest,f102732e-47d7-4726-bae0-3a5fb6bf906f,,,,
Lending interest,2024-07-23 02:38:57,,,,,,,,,,0.16,CZK,,,Share lending interest,64b19b3f-5802-41c2-965a-31e4b4de03b1,,,,
Market sell,2024-07-23 09:03:50,DE0007030009,RHM,Rheinmetall,0.0748438,489.4,EUR,0.03945,-50.19,CZK,926.89,CZK,,,,EOF17854199375,1.39,CZK,,
Market buy,2024-07-23 09:04:20,DE000PAG9113,P911,Porsche,0.527552,69.3,EUR,0.03946,,CZK,927.88,CZK,,,,EOF17854199478,1.39,CZK,,
Lending interest,2024-07-24 02:29:55,,,,,,,,,,0.16,CZK,,,Share lending interest,6976fb0a-cf42-424e-84b5-826d440097ea,,,,
Market sell,2024-07-24 13:30:02,US5949181045,MSFT,Microsoft,0.2915258,440.01,USD,0.04269,170.86,CZK,2999.99,CZK,,,,EOF17950019546,4.51,CZK,,
Interest on cash,2024-07-24 21:01:53,,,,,,,,,,0.33,CZK,,,Interest on cash,1f425d47-c28c-4fb9-afc8-c75273fbf7a8,,,,
Lending interest,2024-07-25 02:30:22,,,,,,,,,,0.16,CZK,,,Share lending interest,e07f4947-9b76-418b-a96b-d16220d79ddd,,,,
Market buy,2024-07-25 07:35:32,GB0007980591,BP,BP,7.7371632,447.2,GBX,3.31470,,CZK,1050.63,CZK,,,,EOF17954150670,1.57,CZK,5.21,CZK
Market buy,2024-07-25 13:30:01,US02079K3059,GOOGL,Alphabet (Class A),0.2471474,172.62,USD,0.04272,,CZK,1000.0,CZK,,,,EOF17954193210,1.5,CZK,,
Market buy,2024-07-25 13:30:01,US02079K3059,GOOGL,Alphabet (Class A),0.0370716,172.62,USD,0.04272,,CZK,149.99,CZK,,,,EOF17954193512,0.22,CZK,,
Market buy,2024-07-25 13:30:01,US67066G1040,NVDA,Nvidia,0.226118,113.19,USD,0.04272,,CZK,600.0,CZK,,,,EOF17954193920,0.9,CZK,,
Market buy,2024-07-25 13:30:01,US5949181045,MSFT,Microsoft,0.019855,429.8,USD,0.04273,,CZK,200.0,CZK,,,,EOF17954194692,0.3,CZK,,
Lending interest,2024-07-26 02:30:35,,,,,,,,,,0.16,CZK,,,Share lending interest,6028f68c-6f51-4bf8-b3bd-ce1571f486cc,,,,
Lending interest,2024-07-27 02:30:39,,,,,,,,,,0.16,CZK,,,Share lending interest,faea80f3-b835-4440-bb17-12c15c828f0e,,,,
Lending interest,2024-07-29 02:34:52,,,,,,,,,,0.34,CZK,,,Share lending interest,3fbebcbe-2ebb-47cd-aedf-16f613713b6e,,,,
Lending interest,2024-07-30 02:29:38,,,,,,,,,,0.17,CZK,,,Share lending interest,8a9782b8-11cc-4668-b393-8c1e8a6b7210,,,,
Lending interest,2024-07-31 02:28:56,,,,,,,,,,0.17,CZK,,,Share lending interest,c3819b09-e282-412a-a602-2b0bb32a9f5e,,,,
Dividend (Dividend),2024-07-31 09:40:23,US46625H1005,JPM,JPMorgan Chase & Co,0.4715529,0.98,USD,Not available,,,10.82,CZK,0.08,USD,,,,,,
Lending interest,2024-08-01 02:25:36,,,,,,,,,,0.17,CZK,,,Share lending interest,b181a547-ee9b-4a97-9e8e-8073d716a0df,,,,
Lending interest,2024-08-02 02:28:41,,,,,,,,,,0.17,CZK,,,Share lending interest,680e6f93-1cc2-480a-a512-f52da0cf1153,,,,
Lending interest,2024-08-03 02:28:37,,,,,,,,,,0.17,CZK,,,Share lending interest,d0e9b134-d6f0-429c-94b7-32b346a9dfd3,,,,
Lending interest,2024-08-05 02:36:21,,,,,,,,,,0.35,CZK,,,Share lending interest,4c1798fe-917e-4699-b0cf-457429fd8415,,,,
Lending interest,2024-08-06 02:30:24,,,,,,,,,,0.17,CZK,,,Share lending interest,815c5aea-463b-4293-a475-73ea7d4c2ede,,,,
Interest on cash,2024-08-07 01:02:37,,,,,,,,,,0.01,CZK,,,Interest on cash,6ad5a46f-baae-44ed-a0b9-acd706a98f33,,,,
Lending interest,2024-08-07 02:34:39,,,,,,,,,,0.16,CZK,,,Share lending interest,ad2f73f2-3a4c-43b5-a09e-87fb8284cf01,,,,
Dividend (Dividend),2024-08-07 08:21:23,NL0010273215,ASML,ASML,0.1541076,1.29,EUR,Not available,,,5.03,CZK,0.04,EUR,,,,,,
Lending interest,2024-08-08 02:29:24,,,,,,,,,,0.15,CZK,,,Share lending interest,1951b5ec-0454-44db-94a1-d2c87928aa57,,,,
Lending interest,2024-08-10 02:22:57,,,,,,,,,,0.16,CZK,,,Share lending interest,095598e0-7768-44e5-a4f8-0cfcf26a0bf1,,,,
Interest on cash,2024-08-12 01:02:39,,,,,,,,,,0.01,CZK,,,Interest on cash,e36dec8e-c087-4394-9bed-4d7cc6ef8793,,,,
Lending interest,2024-08-12 02:32:03,,,,,,,,,,0.34,CZK,,,Share lending interest,bd290502-343d-4073-af6e-ea0d392de093,,,,
Deposit,2024-08-12 13:04:40,,,,,,,,,,4672.0,CZK,,,Transaction ID: QQ7PFF3SBPT9X2F3,2068e8f9-b7ff-44d4-8181-cf269cfd92a5,,,,
Market buy,2024-08-12 13:06:07,GB0031348658,BARC,Barclays,0.7791656,221.0,GBX,3.39837,,CZK,51.0,CZK,,,,EOF18900475657,0.08,CZK,0.25,CZK
Market buy,2024-08-12 13:09:16,DE000PAG9113,P911,Porsche,0.380801,66.36,EUR,0.03973,,CZK,636.99,CZK,,,,EOF18900475813,0.95,CZK,,
Market buy,2024-08-12 13:10:12,GB0007980591,BP,BP,0.3307293,439.05,GBX,3.39903,,CZK,42.99,CZK,,,,EOF18900475919,0.06,CZK,0.21,CZK
Market buy,2024-08-12 13:30:00,US04010L1035,ARCC,Ares Capital,0.423962,20.57,USD,0.04345,,CZK,201.0,CZK,,,,EOF18900477965,0.3,CZK,,
Market buy,2024-08-12 13:30:03,US02209S1033,MO,Altria,0.374081,50.45,USD,0.04344,,CZK,435.0,CZK,,,,EOF18900486090,0.65,CZK,,
Market buy,2024-08-12 13:30:04,US4781601046,JNJ,Johnson & Johnson,0.4074397,161.0,USD,0.04345,,CZK,1511.99,CZK,,,,EOF18900488987,2.26,CZK,,
Market buy,2024-08-12 13:30:05,US85254J1025,STAG,STAG Industrial,0.686236,39.64,USD,0.04345,,CZK,627.0,CZK,,,,EOF18900492666,0.94,CZK,,
Market buy,2024-08-12 13:30:10,US7561091049,O,Realty Income,0.478701,60.36,USD,0.04345,,CZK,666.0,CZK,,,,EOF18900498161,1.0,CZK,,
Market buy,2024-08-12 13:40:38,CA7063271034,PBA,Pembina Pipeline,0.560015,38.75,USD,0.04346,,CZK,500.0,CZK,,,,EOF18902237532,0.75,CZK,,
Lending interest,2024-08-13 02:25:06,,,,,,,,,,0.16,CZK,,,Share lending interest,405c90da-2fb0-4f9c-a952-168a33e88f67,,,,
Lending interest,2024-08-14 02:28:43,,,,,,,,,,0.16,CZK,,,Share lending interest,9dfb713a-f704-4ef0-8b45-ac0293f92f11,,,,
Lending interest,2024-08-15 02:30:57,,,,,,,,,,0.16,CZK,,,Share lending interest,b277f7a6-33fe-4fe5-ba5d-fde90e2bfdf7,,,,
Dividend (Dividend),2024-08-15 14:30:30,US56035L1044,MAIN,Main Street Capital,1.850479,0.21,USD,Not available,,,8.79,CZK,0.07,USD,,,,,,
Dividend (Dividend),2024-08-15 14:37:13,US85254J1025,STAG,STAG Industrial,2.846563,0.1,USD,Not available,,,6.81,CZK,0.05,USD,,,,,,
Dividend (Dividend),2024-08-15 15:23:16,US7561091049,O,Realty Income,1.924934,0.22,USD,Not available,,,9.82,CZK,0.08,USD,,,,,,
Interest on cash,2024-08-16 01:02:47,,,,,,,,,,0.01,CZK,,,Interest on cash,1c79fedd-2cdd-499a-81d2-96efe045ffe8,,,,
Lending interest,2024-08-16 02:35:47,,,,,,,,,,0.16,CZK,,,Share lending interest,07737aff-b80a-45e6-ab83-86ec191b5e94,,,,
Market buy,2024-08-16 08:22:31,GB00BKFB1C65,MNG,M&G,0.7134831,210.9,GBX,3.37839,,CZK,44.83,CZK,,,,EOF19054445756,0.07,CZK,0.22,CZK
Market sell,2024-08-16 08:28:23,GB0031348658,BARC,Barclays,30.3860644,227.7,GBX,3.37875,594.59,CZK,2044.7,CZK,,,,EOF19054446324,3.07,CZK,,
Market buy,2024-08-16 08:30:13,GB00BKFB1C65,MNG,M&G,7.9705612,210.6,GBX,3.37902,,CZK,500.0,CZK,,,,EOF19054446569,0.75,CZK,2.48,CZK
Market buy,2024-08-16 08:33:09,GB00B1FH8J72,SVT,Severn Trent,0.65140628,2577.0,GBX,3.37917,,CZK,500.0,CZK,,,,EOF19054446852,0.75,CZK,2.48,CZK
Market buy,2024-08-16 08:33:10,GB00B1GCLT25,POLR,Polar Capital,3.0785731,548.0,GBX,3.37918,,CZK,500.0,CZK,,,,EOF19054446856,0.75,CZK,,
Market buy,2024-08-16 08:34:38,GB00B06QFB75,IGG,IG Group,1.7330904,968.5,GBX,3.37882,,CZK,500.0,CZK,,,,EOF19054447025,0.75,CZK,2.48,CZK
Market buy,2024-08-16 10:20:09,GB00B00FPT80,CSN,Chesnara,0.563053,262.0,GBX,3.37496,,CZK,44.0,CZK,,,,EOF19100057660,0.07,CZK,0.22,CZK
Lending interest,2024-08-17 02:32:09,,,,,,,,,,0.16,CZK,,,Share lending interest,c2401013-32cd-4277-864b-94f56086b14d,,,,
Lending interest,2024-08-19 02:38:45,,,,,,,,,,0.33,CZK,,,Share lending interest,b255fd36-2fab-402b-8126-38fe2478bde8,,,,
Lending interest,2024-08-20 02:55:01,,,,,,,,,,0.16,CZK,,,Share lending interest,024655e5-d6fd-46fd-af22-1e9bca936cb1,,,,
Lending interest,2024-08-21 02:57:39,,,,,,,,,,0.16,CZK,,,Share lending interest,4d0a2788-fc2f-4005-bb82-05fd56b592be,,,,
Lending interest,2024-08-22 03:14:48,,,,,,,,,,0.16,CZK,,,Share lending interest,b399eff3-d35b-4962-8cef-f942fb426bb5,,,,
Lending interest,2024-08-23 03:15:35,,,,,,,,,,0.16,CZK,,,Share lending interest,7963b2c8-02c8-4a5e-abd2-2b3155a70d3d,,,,
Lending interest,2024-08-24 02:56:53,,,,,,,,,,0.16,CZK,,,Share lending interest,5b50c472-6195-4a72-a16f-d8d8ec481707,,,,
